document_id,category,method,field,ground_truth,prediction,normalized_ground_truth,normalized_prediction,correct,inference_ms,required_human_correction
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,regex,invoice_number,56256948,,56256948,,False,49.51,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,regex,date,2017-09-09,,2017-09-09,,False,49.51,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,regex,vendor_name,黑龙江省国家税务局,,黑龙江省国家税务局,,False,49.51,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,regex,subtotal,,,,,True,49.51,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,regex,tax_amount,,,,,True,49.51,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,regex,total_amount,34.0,,34.00,,False,49.51,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,regex,currency,CNY,CNY,CNY,CNY,True,49.51,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layout_aware,invoice_number,56256948,56256948,56256948,56256948,True,2434.397,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layout_aware,date,2017-09-09,2017-09-09,2017-09-09,2017-09-09,True,2434.397,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layout_aware,vendor_name,黑龙江省国家税务局,黑龙江省国家税务局,黑龙江省国家税务局,黑龙江省国家税务局,True,2434.397,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layout_aware,subtotal,,,,,True,2434.397,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layout_aware,tax_amount,,,,,True,2434.397,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layout_aware,total_amount,34.0,7.41,34.00,7.41,False,2434.397,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layout_aware,currency,CNY,CNY,CNY,CNY,True,2434.397,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,regex,invoice_number,11142434,,11142434,,False,21.09,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,regex,date,2017-09-27,,2017-09-27,,False,21.09,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,regex,vendor_name,临沂市出租车,,临沂市出租车,,False,21.09,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,regex,subtotal,,,,,True,21.09,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,regex,tax_amount,,,,,True,21.09,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,regex,total_amount,10.5,,10.50,,False,21.09,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,regex,currency,CNY,CNY,CNY,CNY,True,21.09,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layout_aware,invoice_number,11142434,11142434,11142434,11142434,True,1510.193,False
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layout_aware,date,2017-09-27,2017-09-27,2017-09-27,2017-09-27,True,1510.193,False
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layout_aware,vendor_name,临沂市出租车,临沂市出租车,临沂市出租车,临沂市出租车,True,1510.193,False
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layout_aware,subtotal,,,,,True,1510.193,False
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layout_aware,tax_amount,,,,,True,1510.193,False
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layout_aware,total_amount,10.5,10.50,10.50,10.50,True,1510.193,False
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layout_aware,currency,CNY,CNY,CNY,CNY,True,1510.193,False
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,regex,invoice_number,15680213,,15680213,,False,36.589,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,regex,date,2017-04-20,,2017-04-20,,False,36.589,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,regex,vendor_name,浙江省国家税务局,,浙江省国家税务局,,False,36.589,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,regex,subtotal,,,,,True,36.589,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,regex,tax_amount,,,,,True,36.589,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,regex,total_amount,16.00,,16.00,,False,36.589,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,regex,currency,CNY,CNY,CNY,CNY,True,36.589,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,layout_aware,invoice_number,15680213,15680213,15680213,15680213,True,3245.037,False
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,layout_aware,date,2017-04-20,2017-04-20,2017-04-20,2017-04-20,True,3245.037,False
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,layout_aware,vendor_name,浙江省国家税务局,浙江省国家税务局,浙江省国家税务局,浙江省国家税务局,True,3245.037,False
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,layout_aware,subtotal,,,,,True,3245.037,False
